EuroFIRComponentIdentifier,OriginalComponentCode,OriginalComponentName,EnglishComponentName,Algorithm,Unit,GrunnefniIS,YflIS,UflIS,InndratturIS,FAgroupIS,WebPublishReady,Remarks,DateofGeneration,GeneratedBy,DateOfUpdate,UpdatedBy
F15:0I,0054,C 15:0 iso,C 15 iso,NULL,g,NULL,6,8,0,1,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:16:00.000,
F20:2CN6,0076,C 20:2 n-6,"C 20:2 c 11,14",NULL,g,NULL,6,30,0,34,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:23:13.000,
x,0135,Aðrar cis-einómettaðar fitus.,Other cis monounsat. fa.,NULL,g,NULL,6,84,0,2,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 11:14:26.000,
[F18:1CISR],0066,C 18:1 n-x,C 18:1 c x,NULL,g,NULL,6,20,0,2,N,,2009-01-01 00:00:00.000,ÓR,2011-05-19 04:49:04.000,
FAUN,0092,Ógreindar fitusýrur,Unknown fatty acids,NULL,g,NULL,6,46,0,NULL,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:37:59.000,
F22:4CN6,0086,C 22:4 n-6,"C 22:4 c 7,10,13,16",NULL,g,NULL,6,40,0,34,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:33:42.000,
FATRN,0008,trans-Fitusýrur,trans-Fatty acids,NULL,g,NULL,1,10,2,NULL,J,NULL,2009-01-01 00:00:00.000,ÓR,2009-01-01 00:00:00.000,ÓR
NITRA,0139,Nítrat NO3,Nitrate NO3,NULL,mg,NULL,7,1,0,NULL,N,,2009-01-01 00:00:00.000,ÓR,2009-09-11 09:50:00.000,
F16:1CN9,0114,C 16:1 n-9,C 16:1 c 7,NULL,g,NULL,6,63,0,2,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:53:58.000,
F20:1CN9,0074,C 20:1 n-9,C 20:1 c 11,NULL,g,NULL,6,28,0,2,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:21:02.000,
CAFFN,0145,Koffín,Caffeine,NULL,mg,NULL,NULL,NULL,NULL,NULL,N,,2010-04-10 10:55:46.887,,2011-03-29 08:56:46.000,
FAUN,0096,Aðrar óþekktar fitusýrur,Other unknown fatty acids,NULL,g,NULL,6,50,0,NULL,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:43:44.000,
VITB6,0028,B6-vítamín,Vitamin B6,NULL,mg,NULL,3,6,0,NULL,J,NULL,2009-01-01 00:00:00.000,ÓR,2009-01-01 00:00:00.000,ÓR
x,0119,C 17:1,C 17:1,NULL,g,NULL,6,68,0,2,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 11:01:56.000,
F18:0,0062,C 18:0,C 18:0,NULL,g,NULL,6,16,0,1,N,,2009-01-01 00:00:00.000,ÓR,2011-05-19 04:45:02.000,
FE,0038,"Járn, Fe","Iron, Fe",NULL,mg,NULL,5,1,0,NULL,J,NULL,2009-01-01 00:00:00.000,ÓR,2009-01-01 00:00:00.000,ÓR
FASAT,0003,Mettaðar fitusýrur,Saturated fatty acids,NULL,g,NULL,1,3,2,NULL,J,NULL,2009-01-01 00:00:00.000,ÓR,2009-01-01 00:00:00.000,ÓR
VITE,0021,"E-vítamín, a-TJ","Vitamin E, alpha-TE",NULL,mg,NULL,2,5,0,NULL,J,NULL,2009-01-01 00:00:00.000,ÓR,2009-01-01 00:00:00.000,ÓR
x,0136,Aðrar cis-fjölómettaðar fitus.,Other cis polyunsat. fa.,NULL,g,NULL,6,85,0,3,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 11:15:25.000,
F24:0,0088,C 24:0,C 24:0,NULL,g,NULL,6,42,0,1,N,,2009-01-01 00:00:00.000,ÓR,2011-05-20 10:35:09.000,
