OriginalFoodCode,OriginalFoodName,EnglishFoodName,ScientificFoodName,OtherFoodNames,OriginalFoodGroupCode,FoodGroupIS1,FoodGroupIS2,FoodGroupIS3,CodexFoodStandards,ArticleNumber,E_number,INS_code,LangualCodes,CODEXAdditives,CODEXFood,CODEXContaminants,FAOBalanceSheet,CIAAFood,EuroCode2,AgriculturalConditions,Cuisine,EdiblePortion,WastePortion,NatureofEdiblePortion,NatureofWaste,TypicalServingSize,TypicalWeightperPiece,Colour,FinalPreparation,SpecificGravity,NitrogenProteinFactor,FattyAcidFactor,GenericImage,SpecificImage,Producer,Distributor,Retailer,AreaOfOrigin,AreaOfProcessing,AreaofConsumption,WebPublishReady,ListOfIngredients,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy
0130,"GOSDRYKKUR, appelsín","Soft drink, orange flavour",,,12.02,12,2,33,,,,,A0241 A0843 B1217 C0005 E0123 F0014 G0003 H0109 H0136 H0150 H0227 J0149 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,6.250,0.000,,,,,,,,,J,,,1996-06-14 00:00:00.0,ÓR,2010-05-15 11:27:37.0,
0534,"ÝSA, ofnbökuð, m lauk og osti","Haddock, roasted, w onion & cheese",,,16.04,16,4,,,,,,,,,,,,,,,100,0,,,,,,,,6.250,0.000,,,,,,,,,J,,Uppskrift S164,2003-05-20 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0145,LÉTT OG LAGGOTT,"Butter with soyabean oil, fat 40%",,Smjör mýkt með sojaolíu. Minarine.,10.04,10,4,16,,,,,A0148 A0807 B1201 C0179 E0119 F0018 G0003 H0148 H0214 H0316 H0342 H0440 H0581 H0591 H0646 H0742 H0748 J0135 K0003 M0172 N0036 P0024,,,,,,,,,100,0,,,,,,,,6.380,0.942,,,,,,,,,J,,"Merking: Fituinnihald er 40%, þar af 28% mjólkurfita og 12% óhert olía. Innihald: Vatn, mjólkurfita, sojaolía (12%), sýrð undanrenna, kartöflusterkja, ýruefni, rotvarnarefni, litarefni (blönduð karótín), bragðefni, A- og D vítamín. Fitusýrur reiknaðar samkvæmt uppskrift U65.",1996-11-24 00:00:00.0,ÓR,2011-04-08 06:14:01.0,
0925,"NÚÐLURÉTTUR, hrísgrjóna-, tilbúinn","Noodle dish, rice noodle, ready to serve",,,16.02,16,2,,,,,,,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,J,,,2001-02-13 00:00:00.0,ÓR,2010-05-18 12:58:41.0,
1055,"1944, meðlæti, hrísgrjón","1944, rice, boiled",,,04.01,4,1,,,,,,A0125 A0814 B1322 C0208 E0150 F0018 G0018 H0148 H0259 J0003 K0001 M0001 N0001 P0024 Z0112,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,N,,Soðin,2001-08-03 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0826,"BÆTIEFNI, omega-3, hylki, 500 mg","Omega-3 fish oil capsule, 500 mg",,,17.01,17,1,13,,,,,,,,,,,,,,100,0,,,,,,,,6.250,0.956,,,Lýsi hf.,,,,,,N,,INNIHALD Í HYLKI,2002-07-09 00:00:00.0,ÓR,2010-05-15 12:09:40.0,
1065,"1944, kjöthulti, Stroganoff","1944, meat part, Stroganoff",,,16.03,16,3,,,,,,A0172 A0799 B1161 C0268 E0134 F0018 G0005 G0014 H0166 H0227 J0131 K0001 M0172 N0036 P0024 Z0112,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,N,,í sveppasósu,2001-08-03 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0576,"ÝSUHAKK, hrátt","Haddock, minced, raw",,,08.01,8,1,13,,,,,A0267 A0803 B1441 C0268 E0106 F0003 G0003 H0003 J0003 K0001 M0001 N0001 P0024 R0135,,,,,,,,,100,0,,,,,,,,6.250,0.700,,,,,,,,,J,,,1996-09-07 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0292,"VATN, hitaveituvatn í Reykjavík","Water, geothermal, in Reykjavík",,,12.09,12,9,33,,,,,A0112 A0844 B1217 C0005 E0123 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024,,,,,,,,,100,0,,,,,,,,0.000,0.000,,,,,,,,,N,,,1992-04-07 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
0211,RAUÐPIPAR,"Pepper, hot chili, raw",Capsicum frutescens,,05.02,5,2,33,,,,,A0152 A0857 B1643 C0139 E0150 F0003 G0003 H0003 J0003 K0003 M0001 N0001 P0024,,,,,,,,,86,14,,,,,,,,6.250,0.800,,,,,,,,,J,,Hrár    (Chílepipar),1993-03-29 00:00:00.0,ÓR,2009-01-01 00:00:00.0,ÓR
