OriginalReferenceCode,StandardReferenceCode,AcquisitionType,ReferenceType,OrgCitation,Title,Authors,PublicationDate,Version,OriginalLanguage,ISBN,FirstEditionDate,EditionNumber,NumberofPages,BookTitle,Editors,LongJournalName,AbbreviatedJournalName,ISSN,Volume,Issue,Pages,SeriesName,SeriesNumber,ReportTitle,FileFormat,WWW,DOI,PublicationMedium,OperatingSystem,Validfrom,Remarks,DateOfGeneration,GeneratedBy,DateOfUpdate,UpdatedBy,Citation
1408,,C,R,Fjölrit RALA nr. 39.,"Næringargildi. Grein í fjölritinu: Kartaflan, tilraunir og ræktun.",Hannes Hafsteinsson,1979-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hannes Hafsteinsson, 1979. Næringargildi. Grein í fjölritinu: Kartaflan, tilraunir og ræktun. Fjölrit RALA nr. 39."
1128,,C,AR,Ráðunautafundur 1980. Búnaðarfélag Íslands og Rannsóknastofnun landbúnaðarins.,Selenrannsóknir.,Guðný Eiríksdóttir,1980-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guðný Eiríksdóttir, 1980. Selenrannsóknir. Fjölrit frá ráðunautafundi 1980. Búnaðarfélag Íslands og Rannsóknastofnun landbúnaðarins."
1719,,C,AJ,"Freyr 92 (8): 329-333, 328.",Söl – Rannsóknir á nokkrum þáttum hreinleika og hollustu.,Árni Snæbjörnsson og Þyrí Valdimarsdóttir,1996-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Árni Snæbjörnsson og Þyrí Valdimarsdóttir, 1996. Söl – Rannsóknir á nokkrum þáttum hreinleika og hollustu. Freyr 92 (8): 329-333, 328."
1460,,O,R,Fjölrit Rala 202.,Gæði grænmetis á íslenskum markaði 1998-1999,Valur Norðri Gunnlaugsson og Ólafur Reykdal,2000-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valur Norðri Gunnlaugsson og Ólafur Reykdal, 2000. Gæði grænmetis á íslenskum markaði 1998-1999. Fjölrit Rala 202."
1608,,L,P,,,,1987-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,Áður: Mjólkursamsalan í Reykjavík.,,,2010-03-09 04:40:53.0,,MS
1705,,P,AJ,Marine Biology 90: 223-229.,Trace metals in mussels from southwest Iceland,Jón Ólafsson,1986-01-01 00:00:00.0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jón Ólafsson, 1986. Trace metals in mussels from southwest Iceland. Marine Biology 90: 223-229."
1111,,D,AR,Mataræði og heilsufar á Íslandi. Rannsóknir Manneldisráðs. Reykjavík.,Rannsóknir á B1 vítamínmagni nokkurra innlendra fæðutegunda,Helgi Tómasson,1943-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Helgi Tómasson, 1943. Rannsóknir á B1 vítamínmagni nokkurra innlendra fæðu-tegunda. Í „Mataræði og heilsufar á Íslandi"". Rannsóknir Manneldisráðs. Reykjavík."
1471,,C,R,Meat Producers Ltd.,Information on Icelandic Horse Meat,Guðjón Þorkelsson,2000-10-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,2012-03-24 11:06:19.697,,2012-03-24 11:08:44.0,,"Guðjón Þorkelsson, 2000. Information on Icelandic Horse Meat. Meat Producers Ltd."
1454,,C,P,Persónulegar upplýsingar,Óbirtar niðurstöður trefjaefnamælinga 1993-1997.,Þyrí Valdimarsdóttir,1993-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-10 08:33:43.0,,Þyrí Valdimarsdóttir. Óbirtar niðurstöður trefjaefnamælinga 1993-1997.
1255,,C,R,Tæknitíðindi nr. 90. Rannsóknastofnun fiskiðnaðarins.,Fitu-og þurrefnismælingar á spærlingi,Össur Kristinsson og Emilía Marteinsdóttir,1977-01-01 00:00:00.0,,is,,,,,,,,,,,,,,,,,,,,,,,,,,,"Össur Kristinsson og Emilía Marteinsdóttir, 1977. Fitu-og þurrefnismælingar á spærlingi. Tæknitíðindi nr. 90."
