Aldur				Orka-Lítil-Hreyfing	Orka			Orka-Mikil-Hreyfing	A		D	E		B1	B2	Níasín		B6	Fólasín		B12	C	Kalk	Fosfór	Kalíum	Magnesíum	Járn	Zink	Kopar	Joð	Selen
Ár					kCal		kcal				kcal		RJ		ug	α-TJ	mg	mg	NJ			mg	ug			ug	mg	mg		mg		g		mg		mg		mg		mg		ug	ug
<6 mán				-			-					-			-		-	-		-	-	-			-	-			-	-	-		-		-		-		-		-		-		-	-
6-11 mán			-			-					-			300		10	3		0.4	0.5	5			0.4	50			0.5	20	540		420		1.1		80		8		5		0.3		50	15
12-23 mán			-			-					-			300		10	4		0.5	0.6	7			0.5	60			0.6	25	700		540		1.4		85		8		5		0.3		70	20
2-5 ára				-			1200				-			350		10	5		0.6	0.7	9			0.7	80			0.8	30	700		540		1.8		120		8		6		0.4		90	25
6-9 ára				-			1770				-			400		10	6		0.9	1.1	12			1.0	130			1.3	40	800		600		2.0		200		9		7		0.5		120	30
Konur 10-13			-			2000				-			600		10	7		1.0	1.2	14			1.1	200			2.0	50	1000	750		2.9		280		11		8		0.7		150	40
Konur 14-17			-			2320				-			700		10	8		1.2	1.3	15			1.3	300			2.0	75	1000	750		3.1		280		15		9		0.9		150	40
Konur 18-30			1980		2250				2560		700		10	8		1.1	1.3	15			1.3	400			2.0	75	800		600		3.1		280		15		7		0.9		150	40
Konur 31-60			1940		2200				2450		700		10	8		1.1	1.3	15			1.2	300/400		2.0	75	800		600		3.1		280		15/9	7		0.9		150	40
Konur 61-74			1780		2030				2270		700		15	8		1.0	1.2	14			1.2	300			2.0	75	800		600		3.1		280		9		7		0.9		150	40
Konur ≥75			1700		1960				2220		700		15	8		1.0	1.2	13			1.2	300			2.0	75	800k	600		3.1		280		9		7		0.9		150	40
Á meðgöngu			-			-					-			800		10	10		1.5	1.6	17			1.5	500			2.0	85	1000	750		3.1		280		15		9		1.0		175	55
Með barn á brjósti	-			-					-			1100	10	11		1.6	1.7	20			1.6	500			2.6	100	1000	750		3.1		280		15		11		1.3		200	55
Karlar 10-13		-			2280				-			600		10	8		1.2	1.4	16			1.3	200			2.0	50	1000	750		3.3		280		11		11		0.7		150	40
Karlar 14-17		-			2730				-			900		10	10		1.5	1.7	20			1.6	300			2.0	75	1000	750		3.5		350		11		12		0.9		150	50
Karlar 18-30		2560		2940				3300		900		10	10		1.5	1.7	20			1.6	300			2.0	75	800		600		3.5		350		9		9		0.9		150	50
Karlar 31-60		2450		2820				3180		900		10	10		1.4	1.7	19			1.6	300			2.0	75	800		600		3.5		350		9		9		0.9		150	50
Karlar 61-74		2220		2530				2870		900		15	10		1.3	1.5	17			1.6	300			2.0	75	800		600		3.5		350		9		9		0.9		150	50
Karlar ≥75			2010		2290				2590		900		15	10		1.2	1.3	15			1.6	300			2.0	75	800		600		3.5		350		9		9		0.9		150	50
