Code,Descriptor,ScopeNote,Remarks
01,"Mjólk, mjólkurvörur",NULL,NULL
01.01,"Nýmjólk, léttmjólk, undanrenna, rjómi, kakómjólk, kakó, bragðbættir mjólkurdrykkir",NULL,NULL
01.02,"Sýrðar mjólkurvörur, sýrður rjómi, jógúrt, jógúrtdrykkir og skyr",NULL,NULL
01.03,"Mjólkurgrautar og súpur, mjólkurbúðingar, rjómabúðingar, tiramisú",NULL,NULL
01.04,"Nýmjólkurduft, undanrennuduft",NULL,NULL
02,Ostar,NULL,NULL
02.01,Allir ostar úr mjólk eða mjólkurvörum,NULL,NULL
02.02,Ostar úr soja eða öðru jurtapróteini,NULL,NULL
03,Ís,NULL,NULL
03.01,"Mjólkurís, rjómaís, jógúrtís",NULL,NULL
03.02,Jurtaís,NULL,NULL
03.03,Vatnsís,NULL,NULL
04,"Kornmatur, brauð og kökur",NULL,NULL
04.01,"Ómalað og heilmalað korn.0 Hrísgrjón, maís og hafragrjón",NULL,NULL
04.02,Mjöl,NULL,NULL
04.03,"Morgunverðarkorn, mjölgrautar",NULL,NULL
04.04,"Brauð, hrökkbrauð, tvíbökur, bruður, skonsur",NULL,NULL
04.05,"Kex, sætt, ósætt, smákökur",NULL,NULL
04.06,"Kökur, tertur, ostakökur, kleinur",NULL,NULL
04.07,"Pasta, kús-kús",NULL,NULL
05,Grænmeti og kartöflur,NULL,NULL
05.01,"Nýir, frystir rótarávextir, nema kartöflur",NULL,NULL
05.02,"Nýtt, fryst grænmeti: stönglar, blöð, aldin",NULL,NULL
05.03,Nýjar kartöflur,NULL,NULL
05.04,"Nýjar, frystar baunir, ertur",NULL,NULL
05.05,Nýir sveppir,NULL,NULL
05.06,Ferskar kryddjurtir,NULL,NULL
05.07,"Niðursoðið og niðurlagt grænmeti, tómatmauk",NULL,NULL
05.08,"Þurrkað grænmeti, kartöfluduft",NULL,NULL
05.09,Franskar kartöflur,NULL,NULL
06,"Ávextir, ber, hnetur og fræ",NULL,NULL
06.01,"Nýir, frystir ávextir",NULL,NULL
06.02,"Ný, fryst ber",NULL,NULL
06.03,"Hnetur, fræ",NULL,NULL
06.04,"Niðursoðnir ávextir, ber, ávaxtagrautar, ávaxtamauk",NULL,NULL
06.05,Þurrkaðir ávextir og ber,NULL,NULL
