AB054646	Thermus oshimai strain SPS-17 16S ribosomal RNA, partial sequence	10.1128/AEM.67.4.1601-1616.2001	11282611	Appl. Environ. Microbiol. 67:1601-1606 (2001)	Ishiguro M.; Kaneko S.; Kuno A.; Koyama Y.; Yoshida S.; Park G.-G.; Sakakibara Y.; Kusakabe I.; Kobayashi H.; ;	Kobayashi H.; Kaneko S.; Koyama Y.; ;	19-JAN-2001 Hideyuki Kobayashi, National Food Research Institute, Molecular Func		
AB075792	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence	10.2323/jgam.48.211	12469320	J. Gen. Appl. Microbiol. 48:211-222 (2002)	Nakagawa T.; Fukui M.; ;	Nakagawa T.; Fukui M.; ;	08-DEC-2001 Contact:Tatsunori Nakagawa College of Bioresource Sciences, Nihon Un		hot spring microbial mat
AB113592	Thermus scotoductus strain Se-1 16S ribosomal RNA, partial sequence	10.1007/s00792-005-0433-8	15776216	Extremophiles 9:169-184 (2005)	Hirayama H.; Takai K.; Inagaki F.; Yamato Y.; Suzuki M.; Nealson K.H.; Horikoshi K.; ;	Hirayama H.; ;	30-JUN-2003 Hisako Hirayama, Japan Marine Science & Technology Center, Frontier		PCR-derived sequence from subsurface geothermal wa
AB020888	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence	10.1111/j.1365-2672.2007.03528.x	17850299	J. Appl. Microbiol. 104:70-78 (2008)	Fujino Y.; Kawatsu R.; Inagaki F.; Umeda A.; Yokoyama T.; Okaue Y.; Iwai S.; Ogata S.; Ohshima T.; Doi K.; ;	Inagaki F.; ;	08-DEC-1998 Contact:Fumio Inagaki Microbial Genetics Division, Institute of Gene		
AB071811	Thermus aquaticus strain YT-1 16S ribosomal RNA, partial sequence	10.1007/s00792-004-0419-y	15378402	Extremophiles 9:81-84 (2005)	Kurosawa N.; Itoh Y.H.; Itoh T.; ;	Kurosawa N.; ;	19-SEP-2001 Norio Kurosawa, Soka University, Department of Bioengineering; 1-236		
AB075789	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence	10.2323/jgam.48.211	12469320	J. Gen. Appl. Microbiol. 48:211-222 (2002)	Nakagawa T.; Fukui M.; ;	Nakagawa T.; Fukui M.; ;	08-DEC-2001 Contact:Tatsunori Nakagawa College of Bioresource Sciences, Nihon Un		hot spring microbial mat
AB079477	Thermus scotoductus strain Se-1 16S ribosomal RNA, partial sequence		19709254	FEMS Microbiol. Ecol. 41:199-209 (2002)	Nakagawa T.; Hanada S.; Maruyama A.; Marumo K.; Urabe T.; Fukui M.; ;	Nakagawa T.; ;	05-FEB-2002 Contact:Tatsunori Nakagawa College of Bioresource Sciences, Nihon Un	Japan:Toyoha	PCR-derived sequence from Cu-Pb-Zn mine
AB075799	Thermus antranikianii strain HN3-7 16S ribosomal RNA, partialsequence	10.2323/jgam.48.211	12469320	J. Gen. Appl. Microbiol. 48:211-222 (2002)	Nakagawa T.; Fukui M.; ;	Nakagawa T.; Fukui M.; ;	08-DEC-2001 Contact:Tatsunori Nakagawa College of Bioresource Sciences, Nihon Un		hot spring microbial mat
AB075793	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence	10.2323/jgam.48.211	12469320	J. Gen. Appl. Microbiol. 48:211-222 (2002)	Nakagawa T.; Fukui M.; ;	Nakagawa T.; Fukui M.; ;	08-DEC-2001 Contact:Tatsunori Nakagawa College of Bioresource Sciences, Nihon Un		hot spring microbial mat
AB183863	Thermus scotoductus strain Se-1 16S ribosomal RNA, partial sequence	10.1007/s00792-005-0454-3	15980939	Extremophiles 9:407-414 (2005)	Kimura H.; Sugihara M.; Yamamoto H.; Patel B.K.C.; Kato K.; Hanada S.; ;	Kimura H.; Sugihara M.; Hanada S.; ;	13-JUL-2004 Hiroyuki Kimura, Shizuoka University, Faculty of Science; 836 Oya, S		deep aquifer of the Great Artesian Basin
AB356067	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356073	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356081	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356091	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356080	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB427153	Thermus oshimai strain SPS-17 16S ribosomal RNA, partial sequence			Unpublished	Horie M.; Fukui K.; Xie M.; Sakihama Y.; Matsumoto K.; ;	Horie M.; Fukui K.; Xie M.; Sakihama Y.; Matsumoto K.; ;	10-MAR-2008 Contact:Masanori Horie National Institute of Advanced Industrial Sci	Japan:Gunma, Naganohara, Kawarayu hot spring	hot spring water (76C, pH 6.97)
AB356030	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356038	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356054	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
AB356086	Thermus thermophilus strain HB8 16S ribosomal RNA, partial sequence		21558703	Microbes Environ. 23:159-166 (2008)	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	Ikeda S.; Tsurumaru H.; Wakai S.; Noritake C.; Fujishiro K.; Akasaka M.; Ando K.; ;	24-AUG-2007 Contact:Hirohito Tsurumaru National institute of Technology and Eval		skim milk
